,name,date,open,high,low,close,beta,R2,ret,beta_norm,beta_modfy,beta_right
0,沪深300,2005/1/4,994.77,994.77,980.66,982.79,0,0,,,,
1,沪深300,2005/1/5,981.58,997.32,979.88,992.56,0,0,0.009941086,,,
2,沪深300,2005/1/6,993.33,993.79,980.33,983.17,0,0,-0.009460385,,,
3,沪深300,2005/1/7,983.05,995.71,979.81,983.96,0,0,0.000803523,,,
4,沪深300,2005/1/10,983.76,993.96,979.79,993.88,0,0,0.010081711,,,
5,沪深300,2005/1/11,994.19,999.55,991.09,997.14,0,0,0.003280074,,,
6,沪深300,2005/1/12,996.65,996.98,989.26,996.75,0,0,-0.000391119,,,
7,沪深300,2005/1/13,996.08,999.47,992.7,996.88,0,0,0.000130424,,,
8,沪深300,2005/1/14,996.62,1006.46,987.23,988.31,0,0,-0.008596822,,,
9,沪深300,2005/1/17,979.11,981.53,965.08,967.45,0,0,-0.021106738,,,
10,沪深300,2005/1/18,967.37,974.87,960.29,974.69,0,0,0.007483591,,,
11,沪深300,2005/1/19,974.33,974.33,965.26,967.21,0,0,-0.007674235,,,
12,沪深300,2005/1/20,963.21,963.21,952.23,956.25,0,0,-0.011331562,,,
13,沪深300,2005/1/21,954.46,984.27,943.44,982.6,0,0,0.027555556,,,
14,沪深300,2005/1/24,1001.85,1001.85,986.24,998.13,0,0,0.015805007,,,
15,沪深300,2005/1/25,995.64,997.95,985.24,997.78,0,0,-0.000350656,,,
16,沪深300,2005/1/26,995.78,999.47,988.48,989.93,0,0,-0.007867466,,,
17,沪深300,2005/1/27,987.34,987.7,973.77,974.63,0,0,-0.015455638,,,
18,沪深300,2005/1/28,974.63,975.62,965.21,969.21,0.690420595,0.722352001,-0.005561085,,,
19,沪深300,2005/1/31,965.79,965.79,953.14,954.88,0.713242466,0.724738697,-0.014785237,,,
20,沪深300,2005/2/1,953.33,965.48,952.74,955.95,0.752049182,0.759036739,0.00112056,,,
21,沪深300,2005/2/2,956.7,1006.93,956.7,1006.91,0.782080279,0.780523983,0.053308227,,,
22,沪深300,2005/2/3,1005.56,1014.19,992.16,993.22,0.667590964,0.541848428,-0.013596051,,,
23,沪深300,2005/2/4,992.25,1021.03,989.94,1016.86,0.719425312,0.576869748,0.023801373,,,
24,沪深300,2005/2/16,1023.32,1033.25,1018.49,1023.58,0.802934724,0.589226187,0.006608579,,,
25,沪深300,2005/2/17,1024.43,1024.43,1010.48,1020.61,0.860570775,0.697715677,-0.002901581,,,
26,沪深300,2005/2/18,1020.12,1021.2,1005.63,1006.06,0.885828549,0.745020853,-0.01425618,,,
27,沪深300,2005/2/21,1006.69,1025.66,1006.69,1025.63,0.885091125,0.763278385,0.01945212,,,
28,沪深300,2005/2/22,1026.84,1048.68,1024.53,1046.74,0.894148924,0.781397569,0.020582471,,,
29,沪深300,2005/2/23,1046.81,1049.61,1036.63,1043.94,0.925502531,0.814353935,-0.002674972,,,
30,沪深300,2005/2/24,1042.25,1045.96,1034.73,1045.46,0.901141446,0.845286752,0.001456022,,,
31,沪深300,2005/2/25,1046.27,1059.48,1045.98,1046.76,0.860472116,0.852248351,0.001243472,,,
32,沪深300,2005/2/28,1046.21,1048.28,1035.04,1039.99,0.923048055,0.890092324,-0.006467576,,,
33,沪深300,2005/3/1,1039.35,1042.74,1031.17,1035.93,0.917635675,0.897592124,-0.003903884,,,
34,沪深300,2005/3/2,1036.37,1045.76,1021,1021.32,0.905984699,0.901186339,-0.01410327,,,
35,沪深300,2005/3/3,1019.88,1028.4,1014.75,1027.71,0.909237375,0.902156717,0.006256609,,,
36,沪深300,2005/3/4,1027.93,1031.85,1022.18,1023.67,0.893345657,0.896950275,-0.00393107,,,
37,沪深300,2005/3/7,1024.48,1031.34,1024.48,1029.87,0.850514867,0.886786726,0.006056639,,,
38,沪深300,2005/3/8,1033.79,1049.29,1032.85,1048.99,0.768368696,0.853924503,0.01856545,,,
39,沪深300,2005/3/9,1051.26,1054.64,1041.98,1046.54,0.618676164,0.834474145,-0.00233558,,,
40,沪深300,2005/3/10,1046.69,1046.69,1019.63,1022.41,0.77640032,0.864744382,-0.02305693,,,
41,沪深300,2005/3/11,1021.08,1028.12,1016.93,1027.43,0.761094184,0.794584068,0.004909968,,,
42,沪深300,2005/3/14,1027.18,1041.57,1014.93,1031.03,0.8851062,0.798103031,0.003503888,,,
43,沪深300,2005/3/15,1030.86,1030.94,1011.64,1013.52,0.841300579,0.752124591,-0.016983017,,,
44,沪深300,2005/3/16,1011.85,1012.2,995.97,1003.07,0.809294282,0.741268219,-0.010310601,,,
45,沪深300,2005/3/17,1001.97,1004.82,992.12,992.86,0.835086293,0.781324592,-0.010178751,,,
46,沪深300,2005/3/18,991.89,996.4,975.71,978.67,0.911405119,0.82968391,-0.014292045,,,
47,沪深300,2005/3/21,977.3,983.18,973,981.89,0.899514473,0.896830272,0.00329018,,,
48,沪深300,2005/3/22,981.71,982.14,959.56,964.02,0.962362086,0.920340425,-0.018199595,,,
49,沪深300,2005/3/23,962.82,975.36,955.99,959.01,0.943627609,0.937362934,-0.005196988,,,
50,沪深300,2005/3/24,957.43,965.06,948.53,964.8,0.945300797,0.945988816,0.006037476,,,
51,沪深300,2005/3/25,964.25,966.97,959.06,962.96,0.960986883,0.955751637,-0.001907131,,,
52,沪深300,2005/3/28,961.65,961.65,948.81,960.7,0.997124504,0.9566203,-0.00234693,,,
53,沪深300,2005/3/29,960.42,968.12,954.74,955.19,0.993977995,0.964482733,-0.005735401,,,
54,沪深300,2005/3/30,952.71,952.71,936.38,937.03,1.001841983,0.966880028,-0.019011924,,,
55,沪深300,2005/3/31,934.85,942.37,928.34,942.2,1.010977695,0.972157685,0.005517433,,,
56,沪深300,2005/4/1,941.43,989.9,937.55,978.15,1.034330273,0.979738749,0.038155381,,,
57,沪深300,2005/4/4,968.49,974.06,956.13,962.17,0.965793764,0.91588615,-0.016336963,,,
58,沪深300,2005/4/5,960.54,967.75,953.59,955.6,0.983317938,0.898717786,-0.006828315,,,
59,沪深300,2005/4/6,955.6,977.86,948.95,973.67,0.952198023,0.88187972,0.018909586,,,
60,沪深300,2005/4/7,975.97,1000.27,974.31,984.73,0.960369158,0.85677456,0.011359085,,,
61,沪深300,2005/4/8,984.67,1003.7,979.53,1003.45,0.908407233,0.80824196,0.019010287,,,
62,沪深300,2005/4/11,1003.88,1008.74,992.77,995.42,0.888004479,0.742347714,-0.008002392,,,
63,沪深300,2005/4/12,993.71,993.71,978.2,978.7,0.883802915,0.733208063,-0.01679693,,,
64,沪深300,2005/4/13,987.95,1006.5,987.95,1000.9,0.896241292,0.712299223,0.022683151,,,
65,沪深300,2005/4/14,1004.64,1006.42,985.58,986.98,0.898558877,0.735106138,-0.013907483,,,
66,沪深300,2005/4/15,982.61,982.61,971.93,974.08,0.932771752,0.771457805,-0.013070174,,,
67,沪深300,2005/4/18,970.91,970.91,958.65,963.77,0.918388902,0.763332637,-0.010584346,,,
68,沪深300,2005/4/19,962.92,968.87,957.91,965.89,0.921143853,0.758423175,0.002199695,,,
69,沪深300,2005/4/20,964.15,964.15,946.2,950.87,0.91905869,0.74682839,-0.015550425,,,
70,沪深300,2005/4/21,948.86,955.55,938.6,943.98,0.920001109,0.767254306,-0.007245996,,,
71,沪深300,2005/4/22,942.91,947.91,934.96,939.1,0.920225851,0.781088975,-0.005169601,,,
72,沪深300,2005/4/25,935.99,935.99,920.16,930.07,0.944837904,0.801585991,-0.009615589,,,
73,沪深300,2005/4/26,928.43,939.7,924.66,937.08,0.959841761,0.825113907,0.007537067,,,
74,沪深300,2005/4/27,938.57,938.91,925.9,926.6,0.959194683,0.829936956,-0.011183677,,,
