代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
000300.SH,沪深300,2005/1/4,994.77,994.77,980.66,982.79,4431.98,741286900
000300.SH,沪深300,2005/1/5,981.58,997.32,979.88,992.56,4529.21,711910900
000300.SH,沪深300,2005/1/6,993.33,993.79,980.33,983.17,3921.02,628802900
000300.SH,沪深300,2005/1/7,983.05,995.71,979.81,983.96,4737.47,729869400
000300.SH,沪深300,2005/1/10,983.76,993.96,979.79,993.88,3762.93,579169800
000300.SH,沪深300,2005/1/11,994.19,999.55,991.09,997.14,3704.08,584908000
000300.SH,沪深300,2005/1/12,996.65,996.98,989.26,996.75,3093.3,501452500
000300.SH,沪深300,2005/1/13,996.08,999.47,992.7,996.88,3842.17,604406600
000300.SH,沪深300,2005/1/14,996.62,1006.46,987.23,988.31,4162.92,729784200
000300.SH,沪深300,2005/1/17,979.11,981.53,965.08,967.45,4249.81,728818900
000300.SH,沪深300,2005/1/18,967.37,974.87,960.29,974.69,4117.94,731184800
000300.SH,沪深300,2005/1/19,974.33,974.33,965.26,967.21,3427.95,633809100
000300.SH,沪深300,2005/1/20,963.21,963.21,952.23,956.25,4399.35,772710700
000300.SH,沪深300,2005/1/21,954.46,984.27,943.44,982.6,8152.09,1445006000
000300.SH,沪深300,2005/1/24,1001.85,1001.85,986.24,998.13,8360.16,1435946200
000300.SH,沪深300,2005/1/25,995.64,997.95,985.24,997.78,6157.02,986252900
000300.SH,沪深300,2005/1/26,995.78,999.47,988.48,989.93,4719.44,766329000
000300.SH,沪深300,2005/1/27,987.34,987.7,973.77,974.63,4094.4,694536500
000300.SH,沪深300,2005/1/28,974.63,975.62,965.21,969.21,3280.95,574880700
000300.SH,沪深300,2005/1/31,965.79,965.79,953.14,954.88,3863.57,678870600
000300.SH,沪深300,2005/2/1,953.33,965.48,952.74,955.95,4275.71,743306700
000300.SH,沪深300,2005/2/2,956.7,1006.93,956.7,1006.91,10202.9,1705733900
000300.SH,沪深300,2005/2/3,1005.56,1014.19,992.16,993.22,10057.31,1697453900
000300.SH,沪深300,2005/2/4,992.25,1021.03,989.94,1016.86,9549.87,1573621500
000300.SH,沪深300,2005/2/16,1023.32,1033.25,1018.49,1023.58,7438.17,1213129300
000300.SH,沪深300,2005/2/17,1024.43,1024.43,1010.48,1020.61,5513.06,896829800
000300.SH,沪深300,2005/2/18,1020.12,1021.2,1005.63,1006.06,4817.73,813993900
000300.SH,沪深300,2005/2/21,1006.69,1025.66,1006.69,1025.63,6052.4,988609400
000300.SH,沪深300,2005/2/22,1026.84,1048.68,1024.53,1046.74,10922.78,1793784200
000300.SH,沪深300,2005/2/23,1046.81,1049.61,1036.63,1043.94,11231.94,1869693000
000300.SH,沪深300,2005/2/24,1042.25,1045.96,1034.73,1045.46,8993.75,1468178900
000300.SH,沪深300,2005/2/25,1046.27,1059.48,1045.98,1046.76,11489.96,1817000300
000300.SH,沪深300,2005/2/28,1046.21,1048.28,1035.04,1039.99,8190.1,1297104600
000300.SH,沪深300,2005/3/1,1039.35,1042.74,1031.17,1035.93,6288.79,996209000
000300.SH,沪深300,2005/3/2,1036.37,1045.76,1021,1021.32,8971.31,1422513600
000300.SH,沪深300,2005/3/3,1019.88,1028.4,1014.75,1027.71,5582.81,920308600
000300.SH,沪深300,2005/3/4,1027.93,1031.85,1022.18,1023.67,5383.87,817364200
000300.SH,沪深300,2005/3/7,1024.48,1031.34,1024.48,1029.87,5316.47,793295000
000300.SH,沪深300,2005/3/8,1033.79,1049.29,1032.85,1048.99,9851.28,1429579400
000300.SH,沪深300,2005/3/9,1051.26,1054.64,1041.98,1046.54,9877.62,1532748800
000300.SH,沪深300,2005/3/10,1046.69,1046.69,1019.63,1022.41,8380.55,1329595300
000300.SH,沪深300,2005/3/11,1021.08,1028.12,1016.93,1027.43,7654.56,1147638100
000300.SH,沪深300,2005/3/14,1027.18,1041.57,1014.93,1031.03,10229.43,1446608900
000300.SH,沪深300,2005/3/15,1030.86,1030.94,1011.64,1013.52,8091.21,1200749300
000300.SH,沪深300,2005/3/16,1011.85,1012.2,995.97,1003.07,7153.75,1062278300
000300.SH,沪深300,2005/3/17,1001.97,1004.82,992.12,992.86,6535.06,996901100
000300.SH,沪深300,2005/3/18,991.89,996.4,975.71,978.67,6314.99,965206000
000300.SH,沪深300,2005/3/21,977.3,983.18,973,981.89,4594.52,725256500
000300.SH,沪深300,2005/3/22,981.71,982.14,959.56,964.02,6955.31,1137571700
000300.SH,沪深300,2005/3/23,962.82,975.36,955.99,959.01,7092.06,1093005400
000300.SH,沪深300,2005/3/24,957.43,965.06,948.53,964.8,6446.64,926071500
000300.SH,沪深300,2005/3/25,964.25,966.97,959.06,962.96,4258.13,710732300
000300.SH,沪深300,2005/3/28,961.65,961.65,948.81,960.7,4141.66,666924600
000300.SH,沪深300,2005/3/29,960.42,968.12,954.74,955.19,4842.15,757737900
000300.SH,沪深300,2005/3/30,952.71,952.71,936.38,937.03,5459.38,895016400
000300.SH,沪深300,2005/3/31,934.85,942.37,928.34,942.2,4555.32,785944600
000300.SH,沪深300,2005/4/1,941.43,989.9,937.55,978.15,10109.4,1634750500
000300.SH,沪深300,2005/4/4,968.49,974.06,956.13,962.17,7296.5,1143509300
000300.SH,沪深300,2005/4/5,960.54,967.75,953.59,955.6,6069.51,953453700
000300.SH,沪深300,2005/4/6,955.6,977.86,948.95,973.67,9727.66,1428242100
000300.SH,沪深300,2005/4/7,975.97,1000.27,974.31,984.73,13260.56,2075421200
000300.SH,沪深300,2005/4/8,984.67,1003.7,979.53,1003.45,9151.35,1476252600
000300.SH,沪深300,2005/4/11,1003.88,1008.74,992.77,995.42,10436.23,1593606600
000300.SH,沪深300,2005/4/12,993.71,993.71,978.2,978.7,6479.56,1022619300
000300.SH,沪深300,2005/4/13,987.95,1006.5,987.95,1000.9,10029.6,1607168700
000300.SH,沪深300,2005/4/14,1004.64,1006.42,985.58,986.98,7813.43,1294571000
000300.SH,沪深300,2005/4/15,982.61,982.61,971.93,974.08,6541.68,1040895500
000300.SH,沪深300,2005/4/18,970.91,970.91,958.65,963.77,5329.14,859840000
000300.SH,沪深300,2005/4/19,962.92,968.87,957.91,965.89,5768.91,921262300
000300.SH,沪深300,2005/4/20,964.15,964.15,946.2,950.87,5300,885070500
000300.SH,沪深300,2005/4/21,948.86,955.55,938.6,943.98,6140.65,994614500
000300.SH,沪深300,2005/4/22,942.91,947.91,934.96,939.1,6373.55,1069188400
000300.SH,沪深300,2005/4/25,935.99,935.99,920.16,930.07,6667.3,1147047800
000300.SH,沪深300,2005/4/26,928.43,939.7,924.66,937.08,7029.37,1169047100
000300.SH,沪深300,2005/4/27,938.57,938.91,925.9,926.6,6432.85,1078061100
000300.SH,沪深300,2005/4/28,923.53,945.5,914.83,942.07,8315.81,1434348600
000300.SH,沪深300,2005/4/29,940.81,942.45,929.81,932.4,6853.19,1123541900
000300.SH,沪深300,2005/5/9,934.65,937.39,909.17,909.17,4889.7,852911500
000300.SH,沪深300,2005/5/10,905.54,913.39,892.31,913.08,5960.91,1049433100
000300.SH,沪深300,2005/5/11,911.84,917.22,900.44,901.85,5128.33,904204700
