代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
000016.SH,上证50,2003/12/31,1000,1000,1000,1000,0,0
000016.SH,上证50,2004/1/2,997,1021.57,993.89,1011.35,5742.76,806465300
000016.SH,上证50,2004/1/5,1008.28,1060.9,1008.28,1060.8,10706.46,1446818000
000016.SH,上证50,2004/1/6,1059.14,1086.69,1059.1,1075.66,12417,1699133400
000016.SH,上证50,2004/1/7,1075.56,1095.84,1070.98,1086.3,10352.54,1372941900
000016.SH,上证50,2004/1/8,1087.68,1108.29,1082.51,1102.66,8188.93,1078042700
000016.SH,上证50,2004/1/9,1105.77,1115.46,1079.07,1081.79,10548.45,1346744200
000016.SH,上证50,2004/1/12,1081.81,1117.51,1079.77,1116.8,8376.57,1023394300
000016.SH,上证50,2004/1/13,1120.15,1123.66,1089.63,1102.34,7989.28,983718900
000016.SH,上证50,2004/1/14,1101.45,1101.67,1076.87,1079.72,5343.58,712049900
000016.SH,上证50,2004/1/15,1078.53,1088.67,1070.73,1073.98,4755.88,617920700
000016.SH,上证50,2004/1/16,1076.64,1087.82,1067.85,1083.65,5520.32,717416700
000016.SH,上证50,2004/1/29,1086.66,1101.03,1084.46,1100.6,4529.58,579123000
000016.SH,上证50,2004/1/30,1102.17,1103.7,1066.45,1067.55,5943.97,776111800
000016.SH,上证50,2004/2/2,1107.49,1116.31,1069.97,1091.73,11668.21,1543292200
000016.SH,上证50,2004/2/3,1091.87,1103.24,1084.39,1102.95,6827.92,841110700
000016.SH,上证50,2004/2/4,1104.74,1130.14,1104.74,1128.44,8915.09,1053499000
000016.SH,上证50,2004/2/5,1135.62,1136.42,1118.17,1127.9,8521.83,977431400
000016.SH,上证50,2004/2/6,1125.49,1139.09,1108.91,1122.08,9086.96,1114033700
000016.SH,上证50,2004/2/9,1122.29,1134.91,1122.28,1134.61,7038.85,859830500
000016.SH,上证50,2004/2/10,1137.72,1141.99,1116.93,1120.96,7084.28,866278000
000016.SH,上证50,2004/2/11,1121.81,1123.77,1100.24,1110.06,7161.1,924632000
000016.SH,上证50,2004/2/12,1110.84,1122.48,1092.29,1094.11,7735.86,958159700
000016.SH,上证50,2004/2/13,1094,1105.82,1088.86,1096.36,5758.48,690482100
000016.SH,上证50,2004/2/16,1098.86,1124.36,1098.86,1123.75,6197.79,762341000
000016.SH,上证50,2004/2/17,1127.1,1132.71,1121.28,1123.62,7856.93,881589700
000016.SH,上证50,2004/2/18,1123.7,1136.53,1119.63,1129.28,7208.81,809371100
000016.SH,上证50,2004/2/19,1130.4,1138.08,1119.67,1122.38,6217.18,713080500
000016.SH,上证50,2004/2/20,1122.93,1125.37,1112.94,1124.66,5258.6,598875900
000016.SH,上证50,2004/2/23,1126.23,1129.52,1092.01,1093.14,7258.28,880250900
000016.SH,上证50,2004/2/24,1090.25,1095.94,1072.33,1093.1,6881.09,844938200
000016.SH,上证50,2004/2/25,1094.43,1104.35,1067.13,1070.36,6373.13,806405500
000016.SH,上证50,2004/2/26,1068.13,1080.23,1061.2,1079.9,6041.59,810089000
000016.SH,上证50,2004/2/27,1081.71,1090.89,1079.93,1088.72,5654.38,729306900
000016.SH,上证50,2004/3/1,1089.65,1095.23,1076.08,1094.24,5297.53,644171500
000016.SH,上证50,2004/3/2,1096.11,1099.71,1086.72,1093.39,4608.23,557731800
000016.SH,上证50,2004/3/3,1093.36,1093.74,1067.94,1072.64,4177.18,521481900
000016.SH,上证50,2004/3/4,1070.9,1079.27,1061.89,1078.35,3854.36,481043300
000016.SH,上证50,2004/3/5,1080.34,1083.14,1070.3,1071.58,2754.92,336502700
000016.SH,上证50,2004/3/8,1070.11,1075.75,1056.04,1057.1,3706.59,459984900
000016.SH,上证50,2004/3/9,1057.36,1075.22,1056.88,1061.16,4876.69,691802100
000016.SH,上证50,2004/3/10,1062.98,1091.35,1062.98,1091.1,4768.36,611397300
000016.SH,上证50,2004/3/11,1092.74,1102.22,1086.55,1095.56,4817.18,576179100
000016.SH,上证50,2004/3/12,1096.35,1102.13,1088.44,1099.08,4158.68,523609700
000016.SH,上证50,2004/3/15,1100.4,1134.28,1100.15,1131.68,8500.65,1025206900
000016.SH,上证50,2004/3/16,1136.27,1139.49,1127.85,1135.57,6223.98,732935900
000016.SH,上证50,2004/3/17,1136.45,1139.28,1124.6,1135.17,4842.84,548980200
000016.SH,上证50,2004/3/18,1134.93,1141.81,1110.32,1111.85,5785.91,686980500
000016.SH,上证50,2004/3/19,1110.44,1130.26,1107.1,1129.78,4782.88,588599400
000016.SH,上证50,2004/3/22,1130.87,1141.81,1126.19,1134.79,4319.54,509368600
000016.SH,上证50,2004/3/23,1133.99,1134.13,1115.67,1121.33,4644.46,558753500
000016.SH,上证50,2004/3/24,1120.21,1125.06,1109.33,1115.51,4213.86,480013900
000016.SH,上证50,2004/3/25,1114.75,1126.19,1108.18,1115.24,3777.14,460921600
000016.SH,上证50,2004/3/26,1115.49,1118.72,1105.55,1112.78,4629.5,539454700
000016.SH,上证50,2004/3/29,1112.28,1115.05,1100.43,1101.66,4156.41,533627000
000016.SH,上证50,2004/3/30,1100.8,1106.01,1093.12,1101.27,3465.95,415867700
000016.SH,上证50,2004/3/31,1102.29,1113.74,1097.87,1108.54,3468.94,424786000
000016.SH,上证50,2004/4/1,1109.72,1124.25,1108.91,1123.44,3975.84,468270700
000016.SH,上证50,2004/4/2,1125.36,1133.44,1122.64,1127.81,4954.58,578895400
000016.SH,上证50,2004/4/5,1128.51,1129.82,1112.29,1118.27,5142.21,625974900
000016.SH,上证50,2004/4/6,1117.89,1124.02,1106.6,1123.86,4525.6,554598000
000016.SH,上证50,2004/4/7,1124.25,1125.63,1116.13,1117.44,4104.68,467449900
000016.SH,上证50,2004/4/8,1117.12,1118.47,1109.78,1112.84,4997.17,575873600
000016.SH,上证50,2004/4/9,1113.72,1119.15,1083.33,1088.16,5577.02,692196600
000016.SH,上证50,2004/4/12,1082.45,1087.48,1071.12,1080.08,3920.29,502117400
000016.SH,上证50,2004/4/13,1081.05,1087.32,1070.84,1072.73,3738.54,495885300
000016.SH,上证50,2004/4/14,1072.2,1074.63,1052.92,1065.68,3806.04,483803700
000016.SH,上证50,2004/4/15,1066.18,1072.24,1053.08,1055.89,2762.24,360120300
000016.SH,上证50,2004/4/16,1056.8,1071.55,1049.03,1071.23,3409.11,443763700
000016.SH,上证50,2004/4/19,1072.5,1073.4,1052.5,1054.74,2964.94,407868300
000016.SH,上证50,2004/4/20,1053.44,1059.42,1045.21,1052.24,2559.58,339388700
000016.SH,上证50,2004/4/21,1053.38,1061.65,1040.37,1043.53,3406.3,449280400
000016.SH,上证50,2004/4/22,1042.47,1055.21,1039.35,1050.76,3094.12,413564600
000016.SH,上证50,2004/4/23,1048.23,1048.27,1032.87,1034.41,2428.81,323634900
000016.SH,上证50,2004/4/26,1034.04,1041.59,1030.06,1039,1895.94,250798500
000016.SH,上证50,2004/4/27,1040.92,1045.24,1027.61,1031.22,2718.66,359931600
000016.SH,上证50,2004/4/28,1028.46,1034.91,1015.87,1029.81,2926.46,373342800
000016.SH,上证50,2004/4/29,1028.59,1037.75,1015.5,1016.51,3833.89,481146900
000016.SH,上证50,2004/4/30,1017.64,1029.62,1011.21,1025.95,3631.13,478189600
000016.SH,上证50,2004/5/10,1028.46,1031.02,993.64,996.16,2017.39,279728500
000016.SH,上证50,2004/5/11,994.06,1006.17,989.31,1003.9,1583.54,213318500
000016.SH,上证50,2004/5/12,1004.8,1025.41,1001.97,1025.02,2256.2,320194100
000016.SH,上证50,2004/5/13,1026.67,1026.82,1016.25,1021,1611.71,210518100
000016.SH,上证50,2004/5/14,1020.9,1021.31,994.95,997.95,1859.1,267589800
000016.SH,上证50,2004/5/17,993.14,999.45,980.67,981.74,2112.82,297570400
000016.SH,上证50,2004/5/18,978.3,989.5,966.06,989.21,3990.09,522288100
000016.SH,上证50,2004/5/19,989.87,1001.9,981.12,988.92,2707.22,385234400
000016.SH,上证50,2004/5/20,988.99,1000.27,981.28,985.93,1916.71,261329500
000016.SH,上证50,2004/5/21,985.93,995.18,985.14,994.45,1798.51,258370200
000016.SH,上证50,2004/5/24,995.08,997.72,989.21,991.85,1540.02,205245700
000016.SH,上证50,2004/5/25,991.77,992,977.22,978.6,1642.34,231180000
000016.SH,上证50,2004/5/26,976.52,986.94,972.41,985,1280.28,177462400
000016.SH,上证50,2004/5/27,984.58,1006.69,977.73,1003.29,2728.37,401493200
000016.SH,上证50,2004/5/28,1003.93,1005.88,994.41,995.64,1485.28,210253300
000016.SH,上证50,2004/5/31,995.83,1003.76,994.68,1001.19,1243.44,178767300
000016.SH,上证50,2004/6/1,1000.28,1014.21,999.33,1014.17,2269.4,290410200
000016.SH,上证50,2004/6/2,1014.31,1014.71,999.22,1001.69,1929.64,265661800
000016.SH,上证50,2004/6/3,1001,1001.14,985.1,986.45,1542.2,208833400
000016.SH,上证50,2004/6/4,985.55,992.03,981.62,986.23,1490.41,209080200
000016.SH,上证50,2004/6/7,984.04,984.08,967.64,973.22,1456.32,216327100
000016.SH,上证50,2004/6/8,971.03,974.65,952.84,954.77,2191.54,329036000
000016.SH,上证50,2004/6/9,952.19,956.68,938.96,941.3,2182.54,309236100
000016.SH,上证50,2004/6/10,939.5,951.35,936.64,944.25,1976.83,285158500
000016.SH,上证50,2004/6/11,947.5,961.57,941.55,942.86,1948.68,294890700
000016.SH,上证50,2004/6/14,941.04,941.04,919.53,924.59,1871.26,289100000
000016.SH,上证50,2004/6/15,922.93,948.28,919.96,942.68,2012.64,305725500
000016.SH,上证50,2004/6/16,943.36,959,933.48,947.16,2174.8,336261100
000016.SH,上证50,2004/6/17,946.56,948.37,924.79,926.04,1730.97,259071100
000016.SH,上证50,2004/6/18,922.34,922.34,899.27,910.19,2423.7,357202700
000016.SH,上证50,2004/6/21,904.95,913.91,899.22,909.05,1377.61,212560000
000016.SH,上证50,2004/6/22,908.86,924.62,905.94,918.8,1619.83,250321300
000016.SH,上证50,2004/6/23,918.43,918.43,905.41,912.85,1390.56,222728300
000016.SH,上证50,2004/6/24,911.36,918.32,905,906.42,1452.11,231160600
000016.SH,上证50,2004/6/25,904.48,912.88,890.22,891.79,1529.8,244864800
000016.SH,上证50,2004/6/28,887.16,892.58,880.53,883.76,1344.8,224605300
000016.SH,上证50,2004/6/29,885.06,901.39,877.32,901.05,1837.82,313965900
000016.SH,上证50,2004/6/30,900.34,907.37,894.19,897.71,1597.22,270063800
000016.SH,上证50,2004/7/1,896.38,927.62,896.01,925,2891.95,446007100
000016.SH,上证50,2004/7/2,924.08,931.42,917.04,926.62,2032.09,316089200
000016.SH,上证50,2004/7/5,925.37,928.75,919,928.67,2111.43,330734900
000016.SH,上证50,2004/7/6,928.76,944.29,928.39,931.88,2620.93,422602500
000016.SH,上证50,2004/7/7,930.68,930.74,921.24,923.86,1355.98,211908500
000016.SH,上证50,2004/7/8,922.63,927.37,917.47,927.04,1223.53,207932700
000016.SH,上证50,2004/7/9,927.22,936.92,922.28,923.2,1465.36,225625300
000016.SH,上证50,2004/7/12,919.79,919.79,901.52,904.55,1611.87,252834300
000016.SH,上证50,2004/7/13,902.27,909.93,898.08,906.97,1347.09,211886700
000016.SH,上证50,2004/7/14,907.52,914.71,897.23,912.19,1875.74,305008000
000016.SH,上证50,2004/7/15,912.92,926.25,909.65,925.68,3066.44,455494300
000016.SH,上证50,2004/7/16,927.4,948.85,926.43,946.18,5033.08,837148900
000016.SH,上证50,2004/7/19,946.34,954.16,938.69,947.42,2691.09,425124800
000016.SH,上证50,2004/7/20,945.73,946.01,934.73,939.23,2443.01,371586900
000016.SH,上证50,2004/7/21,937.45,943.11,932.28,940.51,1564.23,232650800
000016.SH,上证50,2004/7/22,940.38,941.76,910.21,913.14,3174.57,483267500
000016.SH,上证50,2004/7/23,910.21,915.95,901.76,915.04,2693.62,439159100
000016.SH,上证50,2004/7/26,910.31,914.24,899.64,903.75,1605.69,262617500
000016.SH,上证50,2004/7/27,902.9,909.44,896.24,903.32,1838.29,295693800
000016.SH,上证50,2004/7/28,904.29,914.04,891.72,906.05,2092.75,352455100
000016.SH,上证50,2004/7/29,905.67,918.86,905.54,918.79,2257.11,406601200
000016.SH,上证50,2004/7/30,919.94,920.52,905.63,906.27,1906.13,320130000
000016.SH,上证50,2004/8/2,901.81,905.9,897.61,900.02,1368.18,199649300
000016.SH,上证50,2004/8/3,898.49,905.3,891.76,893.3,1636.26,233314600
000016.SH,上证50,2004/8/4,893.06,938.24,888.79,923.02,4394.51,767183500
000016.SH,上证50,2004/8/5,919.84,929.26,907.7,909.08,2575.71,440387400
000016.SH,上证50,2004/8/6,908.33,920.02,904.56,911.56,2125.44,338974100
000016.SH,上证50,2004/8/9,909.42,922.94,906.66,920.76,1762.25,293667000
000016.SH,上证50,2004/8/10,921.7,927.93,918.08,926.54,1594.62,253730200
000016.SH,上证50,2004/8/11,926.48,926.94,911.86,914.61,1450.84,250601600
000016.SH,上证50,2004/8/12,909.68,909.68,899.66,907.83,1539.75,266177400
000016.SH,上证50,2004/8/13,901.26,914.54,898.73,907,2447.55,375542200
000016.SH,上证50,2004/8/16,905.52,912.12,901.45,904.01,1591.17,257884400
000016.SH,上证50,2004/8/17,903.78,912.7,898.87,910.86,1355.62,207908200
000016.SH,上证50,2004/8/18,910.93,922.17,910.41,911.85,1827.82,259399700
000016.SH,上证50,2004/8/19,911.49,911.49,898.99,903.32,1588.47,247848900
000016.SH,上证50,2004/8/20,900.85,909.52,896.7,904.83,1585.8,252475300
000016.SH,上证50,2004/8/23,903.19,903.21,889.03,889.66,1388.25,207358400
000016.SH,上证50,2004/8/24,887.91,900.31,883.26,897.77,1407.4,242367900
000016.SH,上证50,2004/8/25,897.65,899.26,892.14,894.37,910.58,154501600
000016.SH,上证50,2004/8/26,893.45,895.65,886.43,892.1,971.34,153023000
000016.SH,上证50,2004/8/27,891.99,894.89,879.67,883.7,1246.73,207971200
000016.SH,上证50,2004/8/30,880.65,884.71,876.55,882.05,875.08,163911300
000016.SH,上证50,2004/8/31,896.86,908.21,888.37,895.78,1758.48,291015200
000016.SH,上证50,2004/9/1,894.62,894.62,879.4,880.54,1210.2,202012400
