,date,turnover<0,turnover>0,ХЃам<0,ХЃам>0
0,2009/1/5,1000000,1000000,1000000,1000000
1,2009/1/6,1029825.852,1000000,1029825.852,1000000
2,2009/1/7,1024015.852,1000000,1024015.852,1000000
3,2009/1/8,1002420.852,1000000,1002420.852,1000000
4,2009/1/9,1017610.852,1000000,1017610.852,1000000
5,2009/1/12,1018770.852,1000000,1018770.852,1000000
6,2009/1/13,996520.852,1000000,996520.852,1000000
7,2009/1/14,1036045.852,1000000,1036045.852,1000000
8,2009/1/15,1035860.852,1000000,1035860.852,1000000
9,2009/1/16,1053530.852,1000000,1053530.852,1000000
10,2009/1/19,1064660.852,1000000,1064660.852,1000000
11,2009/1/20,1071020.852,1000000,1071020.852,1000000
12,2009/1/21,1069280.852,999919.1316,1069280.852,999919.1316
13,2009/1/22,1080700.852,1009055.132,1080700.852,1009055.132
14,2009/1/23,1074765.852,1004307.132,1074765.852,1004307.132
15,2009/2/2,1086955.852,1014059.132,1086955.852,1014059.132
16,2009/2/3,1112880.852,1034799.132,1112880.852,1034799.132
17,2009/2/4,1141630.852,1057799.132,1141630.852,1057799.132
18,2009/2/5,1133910.852,1051623.132,1133910.852,1051623.132
19,2009/2/6,1177065.852,1086147.132,1177065.852,1086147.132
20,2009/2/9,1206760.852,1109903.132,1206760.852,1109903.132
21,2009/2/10,1221805.852,1121939.132,1221805.852,1121939.132
22,2009/2/11,1223995.852,1123691.132,1223995.852,1123691.132
23,2009/2/12,1217595.852,1118571.132,1217595.852,1118571.132
24,2009/2/13,1257960.852,1150863.132,1257960.852,1150863.132
25,2009/2/16,1289550.852,1176135.132,1289550.852,1176135.132
26,2009/2/17,1251070.852,1145351.132,1251070.852,1145351.132
27,2009/2/18,1196345.852,1101571.132,1196345.852,1101571.132
28,2009/2/19,1207630.852,1110599.132,1207630.852,1110599.132
29,2009/2/20,1230585.852,1128963.132,1230585.852,1128963.132
30,2009/2/23,1263665.852,1155427.132,1263665.852,1155427.132
31,2009/2/24,1209350.852,1111975.132,1209350.852,1111975.132
32,2009/2/25,1210550.852,1112935.132,1210550.852,1112935.132
33,2009/2/26,1153520.852,1067311.132,1153520.852,1067311.132
34,2009/2/27,1128670.852,1047431.132,1128670.852,1047431.132
35,2009/3/2,1140760.852,1057103.132,1140760.852,1057103.132
36,2009/3/3,1129500.852,1048095.132,1129500.852,1048095.132
37,2009/3/4,1201000.852,1105295.132,1201000.852,1105295.132
38,2009/3/5,1210885.852,1113203.132,1210885.852,1113203.132
39,2009/3/6,1201715.852,1105867.132,1201715.852,1105867.132
40,2009/3/9,1159690.852,1072247.132,1159690.852,1072247.132
41,2009/3/10,1178815.852,1087547.132,1178815.852,1087547.132
42,2009/3/11,1168615.852,1079387.132,1168615.852,1079387.132
43,2009/3/12,1166275.852,1077515.132,1166275.852,1077515.132
44,2009/3/13,1161135.852,1073403.132,1161135.852,1073403.132
45,2009/3/16,1179230.852,1087879.132,1179230.852,1087879.132
46,2009/3/17,1219625.852,1120195.132,1219625.852,1120195.132
47,2009/3/18,1224750.852,1124295.132,1224750.852,1124295.132
48,2009/3/19,1249705.852,1144259.132,1249705.852,1144259.132
49,2009/3/20,1248345.852,1143171.132,1248345.852,1143171.132
50,2009/3/23,1278125.852,1166995.132,1278125.852,1166995.132
51,2009/3/24,1284315.852,1171947.132,1284315.852,1171947.132
52,2009/3/25,1259090.852,1151767.132,1259090.852,1151767.132
53,2009/3/26,1298320.852,1183151.132,1298320.852,1183151.132
54,2009/3/27,1307890.852,1190807.132,1307890.852,1190807.132
55,2009/3/30,1300670.852,1185031.132,1300670.852,1185031.132
56,2009/3/31,1312320.852,1194351.132,1312320.852,1194351.132
57,2009/4/1,1332535.852,1210523.132,1332535.852,1210523.132
58,2009/4/2,1346625.852,1221795.132,1346625.852,1221795.132
59,2009/4/3,1343675.852,1219435.132,1343675.852,1219435.132
60,2009/4/7,1346900.852,1222015.132,1346900.852,1222015.132
61,2009/4/8,1298100.852,1182975.132,1298100.852,1182975.132
62,2009/4/9,1317260.852,1198303.132,1317260.852,1198303.132
63,2009/4/10,1356190.852,1229447.132,1356190.852,1229447.132
64,2009/4/13,1386685.852,1253843.132,1386685.852,1253843.132
65,2009/4/14,1396860.852,1261983.132,1396860.852,1261983.132
66,2009/4/15,1401920.852,1266031.132,1401920.852,1266031.132
67,2009/4/16,1401980.852,1266079.132,1401980.852,1266079.132
68,2009/4/17,1383770.852,1251511.132,1383770.852,1251511.132
69,2009/4/20,1412260.852,1274303.132,1412260.852,1274303.132
70,2009/4/21,1396145.852,1261411.132,1396145.852,1261411.132
71,2009/4/22,1346565.852,1221747.132,1346565.852,1221747.132
72,2009/4/23,1355205.852,1228659.132,1355205.852,1228659.132
73,2009/4/24,1344870.852,1220391.132,1344870.852,1220391.132
74,2009/4/27,1315070.852,1196551.132,1315070.852,1196551.132
75,2009/4/28,1317690.852,1198647.132,1317690.852,1198647.132
76,2009/4/29,1361110.852,1233383.132,1361110.852,1233383.132
77,2009/4/30,1369890.852,1240407.132,1369890.852,1240407.132
78,2009/5/4,1415575.852,1276955.132,1415575.852,1276955.132
79,2009/5/5,1421930.852,1282039.132,1421930.852,1282039.132
80,2009/5/6,1440915.852,1297227.132,1440915.852,1297227.132
81,2009/5/7,1441965.852,1298067.132,1441965.852,1298067.132
82,2009/5/8,1453035.852,1306923.132,1453035.852,1306923.132
83,2009/5/11,1421085.852,1281363.132,1421085.852,1281363.132
84,2009/5/12,1452705.852,1306659.132,1452705.852,1306659.132
85,2009/5/13,1465430.852,1316839.132,1465430.852,1316839.132
86,2009/5/14,1454725.852,1308275.132,1454725.852,1308275.132
87,2009/5/15,1456485.852,1309683.132,1456485.852,1309683.132
88,2009/5/18,1463710.852,1315463.132,1463710.852,1315463.132
89,2009/5/19,1478465.852,1327267.132,1478465.852,1327267.132
90,2009/5/20,1464860.852,1316383.132,1464860.852,1316383.132
91,2009/5/21,1433430.852,1291239.132,1433430.852,1291239.132
92,2009/5/22,1428765.852,1287507.132,1428765.852,1287507.132
93,2009/5/25,1434785.852,1292323.132,1434785.852,1292323.132
94,2009/5/26,1418305.852,1279139.132,1418305.852,1279139.132
95,2009/5/27,1438280.852,1295119.132,1438280.852,1295119.132
96,2009/6/1,1487452.935,1334571.132,1487452.935,1334571.132
97,2009/6/2,1487452.935,1337275.132,1487452.935,1337275.132
98,2009/6/3,1487452.935,1366991.132,1487452.935,1366991.132
99,2009/6/4,1487452.935,1372735.132,1487452.935,1372735.132
100,2009/6/5,1487452.935,1366959.132,1487452.935,1366959.132
101,2009/6/8,1487452.935,1370627.132,1487452.935,1370627.132
102,2009/6/9,1487452.935,1375459.132,1487452.935,1375459.132
103,2009/6/10,1487452.935,1387075.132,1487452.935,1387075.132
104,2009/6/11,1487452.935,1375887.132,1487452.935,1375887.132
105,2009/6/12,1487452.935,1353751.132,1487452.935,1353751.132
106,2009/6/15,1487452.935,1377711.132,1487452.935,1377711.132
107,2009/6/16,1487452.935,1375723.132,1487452.935,1375723.132
108,2009/6/17,1487452.935,1395471.132,1487452.935,1395471.132
109,2009/6/18,1487452.935,1414207.132,1487452.935,1414207.132
110,2009/6/19,1487452.935,1423235.132,1487452.935,1423235.132
111,2009/6/22,1487452.935,1424259.132,1487452.935,1424259.132
112,2009/6/23,1487452.935,1424795.132,1487452.935,1424795.132
113,2009/6/24,1487452.935,1439527.132,1487452.935,1439527.132
114,2009/6/25,1487452.935,1438403.132,1487452.935,1438403.132
115,2009/6/26,1487452.935,1442603.132,1487452.935,1442603.132
116,2009/6/29,1487452.935,1463223.132,1487452.935,1463223.132
117,2009/6/30,1487452.935,1457823.132,1487452.935,1457823.132
118,2009/7/1,1487452.935,1486395.132,1487452.935,1486395.132
119,2009/7/2,1487452.935,1504179.132,1487452.935,1504179.132
120,2009/7/3,1487452.935,1522091.132,1487452.935,1522091.132
121,2009/7/6,1487452.935,1541135.132,1487452.935,1541135.132
122,2009/7/7,1487452.935,1527431.132,1487452.935,1527431.132
123,2009/7/8,1487452.935,1532143.132,1487452.935,1532143.132
124,2009/7/9,1487452.935,1549755.132,1487452.935,1549755.132
125,2009/7/10,1487452.935,1550559.132,1487452.935,1550559.132
126,2009/7/13,1487452.935,1535639.132,1487452.935,1535639.132
127,2009/7/14,1487452.935,1573135.132,1487452.935,1573135.132
128,2009/7/15,1487452.935,1588559.132,1487452.935,1588559.132
129,2009/7/16,1487452.935,1591731.132,1487452.935,1591731.132
130,2009/7/17,1487452.935,1599159.132,1487452.935,1599159.132
131,2009/7/20,1487452.935,1627683.132,1487452.935,1627683.132
132,2009/7/21,1487452.935,1607167.132,1487452.935,1607167.132
133,2009/7/22,1487452.935,1634003.132,1487452.935,1634003.132
134,2009/7/23,1487452.935,1652023.132,1487452.935,1652023.132
135,2009/7/24,1487452.935,1658259.132,1487452.935,1658259.132
136,2009/7/27,1487452.935,1688687.132,1487452.935,1688687.132
137,2009/7/28,1487452.935,1693563.132,1487452.935,1693563.132
138,2009/7/29,1487452.935,1614639.132,1487452.935,1614639.132
139,2009/7/30,1487452.935,1645163.132,1487452.935,1645163.132
140,2009/7/31,1487452.935,1685083.132,1487452.935,1685083.132
141,2009/8/3,1487452.935,1706047.132,1487452.935,1706047.132
142,2009/8/4,1487452.935,1705883.132,1487452.935,1705883.132
143,2009/8/5,1487452.935,1687611.132,1487452.935,1687611.132
144,2009/8/6,1487452.935,1656483.132,1487452.935,1656483.132
145,2009/8/7,1487452.935,1613275.132,1487452.935,1613275.132
146,2009/8/10,1487452.935,1609051.132,1487452.935,1609051.132
147,2009/8/11,1487452.935,1613787.132,1487452.935,1613787.132
148,2009/8/12,1487452.935,1550195.132,1487452.935,1550195.132
149,2009/8/13,1487452.935,1567425.499,1487452.935,1567563.132
150,2009/8/14,1487452.935,1567425.499,1487452.935,1529019.132
151,2009/8/17,1487452.935,1567425.499,1487452.935,1447343.132
152,2009/8/18,1487452.935,1567425.499,1487452.935,1460031.132
153,2009/8/19,1487452.935,1567425.499,1487452.935,1397063.132
154,2009/8/20,1487452.935,1567425.499,1487452.935,1448991.132
155,2009/8/21,1487452.935,1567425.499,1487452.935,1472683.132
156,2009/8/24,1487452.935,1567425.499,1487452.935,1483075.132
157,2009/8/25,1487452.935,1567425.499,1487452.935,1435167.132
158,2009/8/26,1487452.935,1567425.499,1487452.935,1460191.132
159,2009/8/27,1487452.935,1567425.499,1487452.935,1453755.132
160,2009/8/28,1487452.935,1567425.499,1487452.935,1409947.132
161,2009/8/31,1487452.935,1567425.499,1487452.935,1323343.132
162,2009/9/1,1487452.935,1567425.499,1487452.935,1328715.132
163,2009/9/2,1487452.935,1567425.499,1487452.935,1347607.132
164,2009/9/3,1487452.935,1567425.499,1487452.935,1412019.132
165,2009/9/4,1487452.935,1567425.499,1487452.935,1422091.132
166,2009/9/7,1487452.935,1567425.499,1487452.935,1432919.132
167,2009/9/8,1487452.935,1567425.499,1487452.935,1459623.132
168,2009/9/9,1487452.935,1567425.499,1487452.935,1469199.132
169,2009/9/10,1487452.935,1567425.499,1487452.935,1456399.132
170,2009/9/11,1487452.935,1567425.499,1487452.935,1486487.132
171,2009/9/14,1487452.935,1567425.499,1487452.935,1508591.132
172,2009/9/15,1487452.935,1567425.499,1487452.935,1512291.132
173,2009/9/16,1487452.935,1567425.499,1487452.935,1494531.132
174,2009/9/17,1487452.935,1567425.499,1487452.935,1519275.132
175,2009/9/18,1487452.935,1567425.499,1487452.935,1471111.132
176,2009/9/21,1487452.935,1567425.499,1487452.935,1474675.132
177,2009/9/22,1487452.935,1567425.499,1487452.935,1443647.132
178,2009/9/23,1487452.935,1567425.499,1487452.935,1415263.132
179,2009/9/24,1487452.935,1567425.499,1487452.935,1423607.132
180,2009/9/25,1487452.935,1567425.499,1487452.935,1414647.132
181,2009/9/28,1487452.935,1567425.499,1487452.935,1380291.132
182,2009/9/29,1487452.935,1567425.499,1487452.935,1380151.132
183,2009/9/30,1487452.935,1567425.499,1487452.935,1393159.132
184,2009/10/9,1487452.935,1567425.499,1487452.935,1456719.132
185,2009/10/12,1487452.935,1567425.499,1487452.935,1451887.132
186,2009/10/13,1487452.935,1567425.499,1487452.935,1470643.132
187,2009/10/14,1487452.935,1567425.499,1487452.935,1482195.132
188,2009/10/15,1487452.935,1567425.499,1487452.935,1487091.132
189,2009/10/16,1487452.935,1567425.499,1487452.935,1487919.132
190,2009/10/19,1487452.935,1567425.499,1487452.935,1522899.132
191,2009/10/20,1487452.935,1567425.499,1487452.935,1542263.132
192,2009/10/21,1487452.935,1567425.499,1487452.935,1538951.132
193,2009/10/22,1487452.935,1567425.499,1487452.935,1530163.132
194,2009/10/23,1487452.935,1567425.499,1487452.935,1556535.132
195,2009/10/26,1487452.935,1567425.499,1487452.935,1556931.132
196,2009/10/27,1487452.935,1567425.499,1487452.935,1517123.132
197,2009/10/28,1487452.935,1567425.499,1487452.935,1522967.132
198,2009/10/29,1487452.935,1567425.499,1487452.935,1490055.132
199,2009/10/30,1487452.935,1567425.499,1487452.935,1503383.132
200,2009/11/2,1487452.935,1567425.499,1487452.935,1548355.132
201,2009/11/3,1487452.935,1567425.499,1487452.935,1565407.132
202,2009/11/4,1487452.935,1567425.499,1487452.935,1572791.132
203,2009/11/5,1487452.935,1567425.499,1487452.935,1576963.132
204,2009/11/6,1487452.935,1567425.499,1487452.935,1584443.132
205,2009/11/9,1487452.935,1567425.499,1487452.935,1589551.132
206,2009/11/10,1487452.935,1567425.499,1487452.935,1592747.132
207,2009/11/11,1487452.935,1567425.499,1487452.935,1589503.132
208,2009/11/12,1487452.935,1567425.499,1487452.935,1591231.132
209,2009/11/13,1487452.935,1567425.499,1487452.935,1598723.132
210,2009/11/16,1487452.935,1567425.499,1487452.935,1641555.132
211,2009/11/17,1487452.935,1567425.499,1487452.935,1642575.132
212,2009/11/18,1487452.935,1567425.499,1487452.935,1643327.132
213,2009/11/19,1487452.935,1567425.499,1487452.935,1648211.132
214,2009/11/20,1487452.935,1567425.499,1487452.935,1643639.132
215,2009/11/23,1487452.935,1567425.499,1487452.935,1657439.132
216,2009/11/24,1487452.935,1567425.499,1487452.935,1610467.132
217,2009/11/25,1487452.935,1567425.499,1487452.935,1643087.132
218,2009/11/26,1487452.935,1567425.499,1487452.935,1585543.132
219,2009/11/27,1487452.935,1567425.499,1487452.935,1544239.132
220,2009/11/30,1487452.935,1567425.499,1487452.935,1595903.132
221,2009/12/1,1487452.935,1567425.499,1487452.935,1615567.132
222,2009/12/2,1487452.935,1567425.499,1487452.935,1630167.132
223,2009/12/3,1487452.935,1567425.499,1487452.935,1627587.132
224,2009/12/4,1487452.935,1567425.499,1487452.935,1648485.392
225,2009/12/7,1487452.935,1567425.499,1487452.935,1648485.392
226,2009/12/8,1487452.935,1567425.499,1487452.935,1648485.392
227,2009/12/9,1487452.935,1567425.499,1487452.935,1648485.392
228,2009/12/10,1487452.935,1567425.499,1487452.935,1648485.392
229,2009/12/11,1487452.935,1567425.499,1487452.935,1648485.392
