代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
881001.WI,万得全A,1994/12/30,377.99,385.04,372.62,379.34,874.73,129970200
881001.WI,万得全A,1995/1/3,371.89,381.62,365.09,376,284.91,43052900
881001.WI,万得全A,1995/1/4,375.62,388.21,372.21,385.77,527.1,82272300
881001.WI,万得全A,1995/1/5,386.82,391.31,378.71,381.62,605.51,96223400
881001.WI,万得全A,1995/1/6,378.09,382.88,372.85,379.36,519.95,80172200
881001.WI,万得全A,1995/1/9,376.06,378.54,367.76,370.37,520.4,74724700
881001.WI,万得全A,1995/1/10,363.75,367.6,355.61,360.17,695.5,111045600
881001.WI,万得全A,1995/1/11,360.93,366.78,356.85,362.14,353.24,56800500
881001.WI,万得全A,1995/1/12,362.8,365.72,353.75,356.26,353.71,56694900
881001.WI,万得全A,1995/1/13,353.95,357.85,348.6,353.25,400.81,64797300
881001.WI,万得全A,1995/1/16,347.28,351.44,340.74,345.07,411.32,67615700
881001.WI,万得全A,1995/1/17,346.22,351.62,340.93,344.36,284.17,50445400
881001.WI,万得全A,1995/1/18,345.34,350.94,341.21,349.2,263.38,45964600
881001.WI,万得全A,1995/1/19,348.51,350.13,334.07,336.02,346.71,61137600
881001.WI,万得全A,1995/1/20,333.15,342.81,326.82,336.22,386.74,67254100
881001.WI,万得全A,1995/1/23,330.07,334.68,324.21,328.13,240.33,42756700
881001.WI,万得全A,1995/1/24,329.12,335.5,323.46,326.91,293.88,46007100
881001.WI,万得全A,1995/1/25,329.31,335.86,326.03,331.98,331.76,54510400
881001.WI,万得全A,1995/1/26,330.24,333.18,326.05,329.64,239.73,41868800
881001.WI,万得全A,1995/1/27,330.12,337.32,328.41,334.4,329.36,63202100
881001.WI,万得全A,1995/2/6,330,333.96,319.38,324.5,270.53,49960000
881001.WI,万得全A,1995/2/7,322.11,327.94,317.96,324.02,229.43,44605000
881001.WI,万得全A,1995/2/8,322.92,328.07,320.36,324.54,210.74,45006200
881001.WI,万得全A,1995/2/9,323.65,333.19,321.8,330.75,301.15,60773000
881001.WI,万得全A,1995/2/10,327.62,334.6,322.88,326.2,369.62,67840500
881001.WI,万得全A,1995/2/13,322.03,329.98,318.48,327.97,177.82,32765400
881001.WI,万得全A,1995/2/14,328.08,331.43,323.02,327.38,138.86,25340100
881001.WI,万得全A,1995/2/15,327,329.62,322.69,325.08,127.79,24102700
881001.WI,万得全A,1995/2/16,323.64,326.44,320.5,322.79,128.02,24326200
881001.WI,万得全A,1995/2/17,321.69,325.07,318.64,321.6,194.86,35340400
881001.WI,万得全A,1995/2/20,322.08,326.04,318.83,321.33,140.52,26526500
881001.WI,万得全A,1995/2/21,321.63,325.49,319.31,324.02,122.32,25792200
881001.WI,万得全A,1995/2/22,324.56,363.69,322.92,359.08,1372.37,224119000
881001.WI,万得全A,1995/2/23,354.35,366.38,339.43,351.59,1885.45,287560000
881001.WI,万得全A,1995/2/24,352.2,355.74,329.77,333.86,1097.06,165284800
